crashSeverity,crashYear,region,weatherA,roadSurface,light,trafficControl,urban
Minor Crash,2020,Auckland Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2018,Waikato Region,Fine,Sealed,Dark,Unknown,Urban
Minor Crash,2017,Manawatū-Whanganui Region,Fine,Sealed,Dark,Unknown,Open
Fatal Crash,2014,Hawke's Bay Region,Fine,Sealed,Bright sun,Give way,Open
Non-Injury Crash,2004,Auckland Region,Fine,Sealed,Overcast,Unknown,Urban
Serious Crash,2022,Northland Region,Light rain,Sealed,Overcast,Stop,Urban
Minor Crash,2018,Waikato Region,Fine,Sealed,Dark,Unknown,Open
Non-Injury Crash,2010,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2010,Taranaki Region,Light rain,Sealed,Overcast,Nil,Urban
Minor Crash,2000,Taranaki Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2005,Waikato Region,Fine,Sealed,Dark,Give way,Urban
Non-Injury Crash,2002,Auckland Region,Light rain,Sealed,Dark,Nil,Urban
Fatal Crash,2003,Northland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2022,Auckland Region,Fine,Sealed,Dark,Stop,Urban
Non-Injury Crash,2006,Hawke's Bay Region,Fine,Sealed,Overcast,Nil,Urban
Serious Crash,2003,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2000,Manawatū-Whanganui Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2015,Auckland Region,Fine,Sealed,Bright sun,Give way,Urban
Minor Crash,2006,Northland Region,Fine,Sealed,Bright sun,Nil,Open
Minor Crash,2012,Hawke's Bay Region,Fine,Sealed,Overcast,Give way,Open
Non-Injury Crash,2011,Auckland Region,Fine,Sealed,Overcast,Stop,Urban
Serious Crash,2014,Wellington Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2005,Bay of Plenty Region,Mist or Fog,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2019,Hawke's Bay Region,Fine,Sealed,Bright sun,Nil,Urban
Minor Crash,2013,Canterbury Region,Fine,Sealed,Bright sun,Nil,Open
Minor Crash,2005,Canterbury Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2005,Auckland Region,Null,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2015,Wellington Region,Fine,Sealed,Bright sun,Stop,Urban
Non-Injury Crash,2023,Canterbury Region,Fine,Sealed,Dark,Nil,Urban
Minor Crash,2025,Bay of Plenty Region,Light rain,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2004,Auckland Region,Fine,Sealed,Twilight,Nil,Urban
Minor Crash,2018,Auckland Region,Fine,Sealed,Bright sun,Stop,Urban
Non-Injury Crash,2020,Auckland Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2014,Auckland Region,Heavy rain,Sealed,Overcast,Unknown,Open
Non-Injury Crash,2002,Auckland Region,Fine,Sealed,Bright sun,Nil,Open
Minor Crash,2002,Auckland Region,Fine,Sealed,Twilight,Traffic Signals,Urban
Non-Injury Crash,2009,Manawatū-Whanganui Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2003,Hawke's Bay Region,Fine,Sealed,Overcast,Traffic Signals,Urban
Non-Injury Crash,2024,Northland Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2006,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2015,Auckland Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2005,Canterbury Region,Fine,Sealed,Dark,Stop,Urban
Minor Crash,2020,Canterbury Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2010,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2011,Gisborne Region,Light rain,Sealed,Dark,Nil,Open
Non-Injury Crash,2004,Nelson Region,Light rain,Sealed,Dark,Nil,Open
Non-Injury Crash,2004,Auckland Region,Fine,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2009,Marlborough Region,Fine,Sealed,Dark,Give way,Urban
Non-Injury Crash,2011,Waikato Region,Light rain,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2015,Manawatū-Whanganui Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2003,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2006,Auckland Region,Light rain,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2007,Wellington Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2005,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2018,Auckland Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2024,Auckland Region,Fine,Sealed,Overcast,Nil,Open
Non-Injury Crash,2000,Auckland Region,Fine,Sealed,Dark,Give way,Urban
Non-Injury Crash,2026,Waikato Region,Light rain,Sealed,Dark,Stop,Urban
Non-Injury Crash,2004,Southland Region,Fine,Sealed,Overcast,Unknown,Open
Minor Crash,2018,Canterbury Region,Light rain,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2012,Waikato Region,Light rain,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2018,Waikato Region,Heavy rain,Sealed,Overcast,Unknown,Open
Non-Injury Crash,2020,Canterbury Region,Light rain,Sealed,Dark,Unknown,Open
Non-Injury Crash,2025,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Minor Crash,2018,Waikato Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2014,Waikato Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2003,Otago Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2011,Waikato Region,Fine,Sealed,Bright sun,Give way,Urban
Minor Crash,2006,Southland Region,Heavy rain,Sealed,Overcast,Traffic Signals,Urban
Non-Injury Crash,2007,Auckland Region,Fine,Sealed,Bright sun,Give way,Urban
Minor Crash,2006,Canterbury Region,Fine,Sealed,Dark,Give way,Open
Non-Injury Crash,2011,Otago Region,Fine,Sealed,Overcast,Nil,Urban
Serious Crash,2010,Marlborough Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2018,Southland Region,Fine,Sealed,Dark,Unknown,Open
Non-Injury Crash,2021,Canterbury Region,Mist or Fog,Sealed,Twilight,Nil,Open
Serious Crash,2022,Canterbury Region,Fine,Sealed,Dark,Nil,Open
Minor Crash,2009,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2007,Wellington Region,Fine,Sealed,Dark,Traffic Signals,Urban
Minor Crash,2009,Waikato Region,Fine,Sealed,Dark,Unknown,Open
Minor Crash,2016,Wellington Region,Light rain,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2016,Hawke's Bay Region,Light rain,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2000,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2021,Canterbury Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2001,Otago Region,Fine,Sealed,Dark,Unknown,Open
Serious Crash,2018,Wellington Region,Fine,Sealed,Overcast,Traffic Signals,Urban
Non-Injury Crash,2024,Tasman Region,Fine,Sealed,Overcast,Nil,Open
Non-Injury Crash,2010,Taranaki Region,Fine,Sealed,Overcast,Nil,Urban
Minor Crash,2008,Hawke's Bay Region,Heavy rain,Sealed,Overcast,Nil,Open
Non-Injury Crash,2016,Auckland Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2008,Northland Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2012,Auckland Region,Fine,Sealed,Twilight,Nil,Open
Minor Crash,2007,Canterbury Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2001,Southland Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2016,Waikato Region,Light rain,Sealed,Overcast,Stop,Open
Minor Crash,2012,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2018,Auckland Region,Fine,Sealed,Twilight,Traffic Signals,Urban
Non-Injury Crash,2024,Manawatū-Whanganui Region,Fine,Sealed,Dark,Nil,Urban
Minor Crash,2017,Manawatū-Whanganui Region,Fine,Sealed,Overcast,Unknown,Open
Minor Crash,2003,Otago Region,Fine,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2022,Wellington Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2024,Wellington Region,Heavy rain,Sealed,Overcast,Nil,Open
Non-Injury Crash,2004,Wellington Region,Null,Sealed,Overcast,Nil,Urban
Serious Crash,2003,Northland Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2010,Auckland Region,Fine,Sealed,Overcast,Traffic Signals,Urban
Non-Injury Crash,2019,Wellington Region,Fine,Sealed,Overcast,Nil,Urban
Serious Crash,2011,Auckland Region,Light rain,Sealed,Overcast,Stop,Urban
Non-Injury Crash,2005,Southland Region,Fine,Sealed,Dark,Give way,Open
Non-Injury Crash,2017,Auckland Region,Light rain,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2002,Auckland Region,Light rain,Sealed,Dark,Nil,Urban
Minor Crash,2015,Auckland Region,Fine,Sealed,Overcast,Unknown,Urban
Non-Injury Crash,2003,Marlborough Region,Light rain,Sealed,Dark,Nil,Open
Serious Crash,2025,Manawatū-Whanganui Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2003,Hawke's Bay Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2020,Waikato Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2001,Auckland Region,Light rain,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2007,Auckland Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2004,Auckland Region,Fine,Sealed,Bright sun,Nil,Open
Serious Crash,2006,Southland Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2010,Hawke's Bay Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2007,Canterbury Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2001,Auckland Region,Light rain,Sealed,Twilight,Traffic Signals,Urban
Serious Crash,2011,Northland Region,Fine,Sealed,Overcast,Nil,Open
Non-Injury Crash,2020,Wellington Region,Null,Null,Unknown,Traffic Signals,Urban
Non-Injury Crash,2001,Auckland Region,Heavy rain,Sealed,Overcast,Stop,Urban
Non-Injury Crash,2012,Wellington Region,Fine,Sealed,Overcast,Nil,Urban
Minor Crash,2010,Otago Region,Light rain,Sealed,Overcast,Unknown,Urban
Non-Injury Crash,2008,Auckland Region,Null,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2002,Canterbury Region,Fine,Sealed,Bright sun,Stop,Urban
Minor Crash,2023,Waikato Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2012,Manawatū-Whanganui Region,Light rain,Sealed,Overcast,Give way,Urban
Minor Crash,2015,Auckland Region,Light rain,Sealed,Dark,Unknown,Open
Non-Injury Crash,2019,Waikato Region,Fine,Sealed,Bright sun,Unknown,Open
Minor Crash,2007,Waikato Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2008,Northland Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2006,Waikato Region,Fine,Sealed,Twilight,Traffic Signals,Urban
Non-Injury Crash,2004,Auckland Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2019,Northland Region,Heavy rain,Sealed,Dark,Stop,Urban
Minor Crash,2007,Auckland Region,Light rain,Sealed,Bright sun,Traffic Signals,Urban
Minor Crash,2000,Canterbury Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2022,Northland Region,Heavy rain,Sealed,Overcast,Nil,Open
Non-Injury Crash,2010,Auckland Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2001,Auckland Region,Fine,Sealed,Bright sun,Give way,Urban
Minor Crash,2014,Auckland Region,Light rain,Sealed,Overcast,Nil,Urban
Minor Crash,2014,Otago Region,Light rain,Sealed,Dark,Unknown,Open
Non-Injury Crash,2007,Wellington Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2015,Southland Region,Null,Sealed,Dark,Nil,Urban
Non-Injury Crash,2014,Waikato Region,Fine,Sealed,Dark,Give way,Urban
Non-Injury Crash,2016,Auckland Region,Light rain,Sealed,Dark,Give way,Urban
Non-Injury Crash,2012,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2020,Wellington Region,Fine,Sealed,Overcast,Traffic Signals,Urban
Serious Crash,2000,Canterbury Region,Fine,Sealed,Twilight,Give way,Urban
Minor Crash,2010,Auckland Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2006,Canterbury Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2020,Tasman Region,Light rain,Sealed,Overcast,Unknown,Open
Non-Injury Crash,2000,Waikato Region,Fine,Sealed,Bright sun,Nil,Urban
Minor Crash,2012,Bay of Plenty Region,Fine,Sealed,Bright sun,Nil,Open
Minor Crash,2020,Waikato Region,Light rain,Sealed,Dark,Unknown,Open
Non-Injury Crash,2013,Auckland Region,Fine,Sealed,Bright sun,Nil,Open
Minor Crash,2009,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Serious Crash,2009,Bay of Plenty Region,Light rain,Sealed,Overcast,Unknown,Open
Minor Crash,2014,Auckland Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2006,Waikato Region,Light rain,Sealed,Twilight,Unknown,Urban
Non-Injury Crash,2016,Auckland Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Serious Crash,2021,Auckland Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2007,Auckland Region,Fine,Sealed,Overcast,Nil,Open
Serious Crash,2001,Canterbury Region,Fine,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2025,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Minor Crash,2020,Bay of Plenty Region,Light rain,Sealed,Overcast,Nil,Open
Non-Injury Crash,2025,Canterbury Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2016,Canterbury Region,Fine,Sealed,Bright sun,Give way,Urban
Serious Crash,2017,Auckland Region,Fine,Sealed,Bright sun,Stop,Open
Non-Injury Crash,2010,Southland Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2000,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2004,Waikato Region,Fine,Sealed,Overcast,Give way,Urban
Minor Crash,2018,Hawke's Bay Region,Fine,Sealed,Bright sun,Unknown,Urban
Minor Crash,2015,Hawke's Bay Region,Fine,Sealed,Dark,Unknown,Open
Non-Injury Crash,2002,Hawke's Bay Region,Fine,Sealed,Overcast,Nil,Open
Minor Crash,2019,Manawatū-Whanganui Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2003,Otago Region,Fine,Sealed,Overcast,Unknown,Urban
Non-Injury Crash,2021,Auckland Region,Light rain,Sealed,Dark,Nil,Urban
Serious Crash,2018,Southland Region,Fine,Sealed,Bright sun,Nil,Urban
Minor Crash,2012,Auckland Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2001,Waikato Region,Fine,Sealed,Dark,Give way,Urban
Non-Injury Crash,2008,Auckland Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2000,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2006,Canterbury Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2001,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Minor Crash,2000,Auckland Region,Light rain,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2024,Bay of Plenty Region,Fine,Sealed,Bright sun,Give way,Urban
Minor Crash,2011,Canterbury Region,Fine,Sealed,Bright sun,Stop,Urban
Non-Injury Crash,2003,Gisborne Region,Light rain,Sealed,Overcast,Nil,Open
Non-Injury Crash,2005,Waikato Region,Light rain,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2017,Auckland Region,Heavy rain,Sealed,Dark,Unknown,Urban
Minor Crash,2024,Waikato Region,Fine,Sealed,Twilight,Nil,Open
Minor Crash,2000,Auckland Region,Light rain,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2019,Taranaki Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2021,Canterbury Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2015,Auckland Region,Fine,Sealed,Dark,Give way,Urban
Non-Injury Crash,2000,Waikato Region,Light rain,Sealed,Dark,Nil,Open
Non-Injury Crash,2007,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Minor Crash,2019,Auckland Region,Heavy rain,Sealed,Overcast,Nil,Urban
Serious Crash,2023,Northland Region,Light rain,Sealed,Overcast,Stop,Open
Serious Crash,2019,Manawatū-Whanganui Region,Fine,Sealed,Overcast,Give way,Open
Minor Crash,2016,Waikato Region,Heavy rain,Sealed,Dark,Unknown,Open
Non-Injury Crash,2016,Taranaki Region,Fine,Sealed,Bright sun,Nil,Open
Serious Crash,2007,Waikato Region,Fine,Sealed,Dark,Unknown,Open
Non-Injury Crash,2025,Waikato Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2003,Wellington Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2012,Auckland Region,Light rain,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2010,Auckland Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2017,Bay of Plenty Region,Fine,Sealed,Overcast,Nil,Urban
Minor Crash,2025,Hawke's Bay Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2023,Waikato Region,Fine,Sealed,Overcast,Nil,Urban
Minor Crash,2016,Canterbury Region,Fine,Sealed,Bright sun,Stop,Urban
Non-Injury Crash,2001,Auckland Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2016,Tasman Region,Fine,Sealed,Bright sun,Unknown,Urban
Serious Crash,2017,Auckland Region,Light rain,Sealed,Overcast,Unknown,Urban
Non-Injury Crash,2009,Northland Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2021,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Serious Crash,2003,Waikato Region,Light rain,Sealed,Dark,Nil,Open
Non-Injury Crash,2021,Waikato Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2007,Auckland Region,Fine,Sealed,Overcast,Traffic Signals,Urban
Non-Injury Crash,2023,Bay of Plenty Region,Fine,Sealed,Overcast,Nil,Open
Non-Injury Crash,2023,Canterbury Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Minor Crash,2023,Bay of Plenty Region,Fine,Sealed,Bright sun,Nil,Open
Serious Crash,2001,Auckland Region,Fine,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2007,Waikato Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2006,Auckland Region,Light rain,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2017,Auckland Region,Fine,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2006,Waikato Region,Fine,Sealed,Overcast,Unknown,Open
Non-Injury Crash,2017,Manawatū-Whanganui Region,Null,Sealed,Bright sun,Unknown,Urban
